rxn,v_plain,v_canon
AGt3,0.0,0.0
AHCYSNS,6.973413859660046e-05,6.973413814860045e-05
AICART,0.08448306456663138,0.08448306402358785
AIRC2,0.06973647344528153,0.069736472996976
AIRC3,-0.06973647344528153,-0.069736472996976
AKGDH,0.0,0.817566115786319
AKGt2rpp,-0.0,-0.0
AKGtex,-0.0,-0.0
ALAALAD,0.0,0.0
ALAALAabcpp,-0.0,-0.0
ALAALAr,0.004325384471701637,0.004325384443913637
ALAALAtex,-0.0,-0.0
ALAGLUE,-0.0,-0.0
ALAR,0.34673619326318406,0.006488076665870455
ALATA_D2,0.0,0.0
ALATA_L,999.5033920677417,-0.09049187414624497
ALATA_L2,-0.0,0.0
ALATRS,0.0,0.0
ALAabcpp,0.0,0.0
ALAt2pp_copy1,0.0,0.0
ALAt2pp_copy2,-0.0,-0.0
ALAt4pp,0.0,-0.0
ALAtex,-0.0,-0.0
ALCD19,-0.0,-0.0
ALCD2x,-0.0,-0.0
ALDD19xr,-0.0,-0.0
ALDD2x,0.0,0.0
ALDD2y,0.0,0.0
ALDD3y,0.0,-0.0
ALDD4,-0.0,-0.0
ALLK,-0.0,-0.0
ALLPI,-0.0,-0.0
ALLTAMH,-0.0,-0.0
ALLTN,-0.0,-0.0
ALLTNt2rpp,-0.0,-0.0
ALLTNtex,-0.0,-0.0
ALLULPE,-0.0,-0.0
ALLabcpp,0.0,0.0
ALLtex,-0.0,-0.0
ALPATE160pp,-0.0,-0.0
ALPATG160pp,0.0,0.0
ALR2,-0.0,-0.0
ALR4x,0.0,0.0
ALTRH,-0.0,-0.0
AM3PA,-0.0,-0.0
AM4PA,0.0,0.0
AM4PCP,0.0,0.0
AMALT1,0.0,0.0
AMALT2,0.0,-0.0
AMALT3,0.0,0.0
AMALT4,0.0,-0.0
AMANAPEr,-0.0,-0.0
AMANK,0.0,-0.0
AMAOTr,3.1131311873482346e-07,3.113131167348234e-07
AMMQLT8,0.0,0.0
AMPMS2,3.4711412738932814e-05,3.471141251593281e-05
AMPN,0.0,0.0
AMPTASECG,-0.0,-0.0
AMPTASEPG,-0.0,-0.0
AMPtex,-0.0,-0.0
ANHGMtex,-0.0,-0.0
ANHMK,-0.0,-0.0
ANPRT,0.008847985804121784,0.008847985747278783
ANS,0.008847985804121784,0.008847985747278783
AOBUTDs,1.0806713936861359,-0.0
AOXSr2,3.1131311873482346e-07,3.113131167348234e-07
AP4AH,-0.0,-0.0
AP4AS,0.0,0.0
AP5AH,0.0,-0.0
APCS,0.0,0.0
APG3PAT120,0.0,0.0
APG3PAT140,0.0,0.0
APG3PAT141,-0.0,0.0
APG3PAT160,0.00993306767947201,-0.0
APG3PAT161,0.011707552456260505,-0.0
APG3PAT180,0.0,-0.0
APG3PAT181,-0.0,-0.0
APH120,0.0,-0.0
APH140,0.0,-0.0
APH141,0.0,-0.0
APH160,0.0,0.0
APH161,0.0,0.0
APH180,0.0,-0.0
APH181,0.0,-0.0
APPLDHr,-0.0,-0.0
APRAUR,6.942282547785201e-05,6.942282503186371e-05
ARAI,-0.0,-0.0
ARBTNR1,0.0,0.0
ARBTNR2,-0.0,-0.0
ARBTNR3,0.0,-0.0
ARBTNabcpp,-0.0,-0.0
ARBTNexs,-0.0,-0.0
ARBTNtex,-0.0,-0.0
ARBTNtonex,-0.0,-0.0
ARBTNtpp,0.0,0.0
ARBTptspp,0.0,-0.0
ARBTtex,0.0,0.0
ARBabcpp,0.0,0.0
ARBt2rpp,-0.0,-0.0
ARBt3ipp,0.0,0.0
ARBtex,-0.0,-0.0
ARGAGMt7pp,-0.0,-0.0
ARGDC,0.0,0.0
ARGDCpp,0.0,0.0
ARGORNt7pp,-0.0,-0.0
ARGSL,0.04604196500840545,0.046041964712613445
ARGSS,0.04604196500840545,0.046041964712613445
ARGTRS,0.0,0.0
ARGabcpp,0.0,0.0
ARGt3pp,0.0,0.0
ARGtex,-0.0,-0.0
ASAD,-0.16640869186227503,-0.16640869079319903
ASCBPL,0.0,0.0
ASCBptspp,-0.0,-0.0
ASCBtex,-0.0,-0.0
ASNN,0.0,0.0
ASNNpp,0.0,0.0
ASNS1,0.0,0.0
ASNS2,0.03752179191831143,0.03752179167725643
ASNTRS,0.0,0.0
ASNabcpp,0.0,0.0
ASNt2rpp,-0.0,-0.0
ASNtex,-0.0,-0.0
ASO3t8pp,0.0,0.0
ASO3tex,-0.0,-0.0
ASP1DC,8.965817819550637e-05,8.965817761963368e-05
ASPCT,0.05149041155594296,0.051490411225147956
ASPK,0.16640869186227503,0.16640869079319903
ASPO3,0.0,0.0
ASPO4,0.0,0.0
ASPO5,0.0,0.0
ASPO6,0.0003545856422390026,0.00035458563996104697
ASPT,0.1930926326926096,0.0
ASPTA,-0.6488050727654575,-0.45571243714454573
ASPTRS,0.0,0.0
ASPabcpp,0.0,0.0
ASPt2_2pp,0.0,0.0
ASPt2_3pp,0.0,0.0
