gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str
b2903,1,307,0.8217979336265955,0.8215318053919817,0.00026612823461380497,0,311.15774304681895,b2903
b2904,1,307,0.8217979336265955,0.8215318053919493,0.0002661282346462235,0,311.1577430468145,b2904
b2905,1,307,0.8217979336265955,0.8215318053919493,0.0002661282346462235,0,311.1577430468145,b2905
b0261,2,26,0.8217979336265955,0.8217979336265623,3.319566843629218e-14,0,310.78507892048054,b0261
b0759,1,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b0759
b0344,1,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b0344
b4239,1,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b4239
b3956,1,412,0.8217979336265955,0.8169805186791476,0.004817414947447918,0,357.8626498069367,b3956
b0822,7,26,0.8217979336265955,0.8217979336265769,1.8540724511240114e-14,0,310.7850789204828,b0822
b2540,2,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b2540
b2542,2,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b2542
b2539,2,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b2539
b2538,2,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b2538
b2541,2,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b2541
b0616,1,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b0616
b0617,1,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b0617
b0614,1,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b0614
b0615,1,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b0615
b2052,2,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b2052
b1636,1,26,0.8217979336265955,0.821797933626609,-1.354472090042691e-14,0,310.7850789204871,b1636
b1277,1,431,0.8217979336265955,2.1881722410053794e-15,0.8217979336265933,1,15424.395931634741,b1277
b2751,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634763,b2751
b2752,1,431,0.8217979336265955,1.0674167079277787e-28,0.8217979336265955,1,15424.3959316347,b2752
b2799,1,26,0.8217979336265955,0.8217979336265933,2.220446049250313e-15,0,310.7850789204848,b2799
b3902,1,26,0.8217979336265955,0.821797933626637,-4.1522341120980855e-14,0,310.7850789204913,b3902
