gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
b3005,,10,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.6304663737242474e-06,
b3006,,10,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.6304663737242474e-06,
b1252,,10,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.6304663737242474e-06,
b3397,,1,4,0.15565655936741177,0.1556565593674124,-6.38378239159465e-16,0,2.62564684502579e-06,
b3034,,1,4,0.15565655936741177,0.1556565593674124,-6.38378239159465e-16,0,2.62564684502579e-06,
b0469,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b2750,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329694,
b1131,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329695,
b4177,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329706,
b0677,,1,0,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,0.0,
b0110,,4,4,0.15565655936741177,0.1556565593674116,1.6653345369377348e-16,0,2.6256468450257764e-06,
b2817,,2,4,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,2.625646845025778e-06,
b2435,,2,4,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,2.625646845025778e-06,
b4169,,2,4,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,2.625646845025778e-06,
b1107,,3,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b0433,,3,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.625646845025779e-06,
b3619,,1,8,0.15565655936741177,0.15565655936741182,-5.551115123125783e-17,0,2.630466373723547e-06,
b2937,,1,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.625646845025778e-06,
b3018,,7,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296894,
b3958,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296894,
b0575,,2,0,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,0.0,
b0572,,2,8,0.15565655936741177,0.1556565593674107,1.0547118733938987e-15,0,2.6304663737227287e-06,
b0573,,2,8,0.15565655936741177,0.1556565593674107,1.0547118733938987e-15,0,2.6304663737227287e-06,
b0574,,2,8,0.15565655936741177,0.1556565593674107,1.0547118733938987e-15,0,2.6304663737227287e-06,
b4006,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329694,
b0522,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.959407732969,
b0523,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329697,
b0727,,1,72,0.15565655936741177,0.15565655936741205,-2.7755575615628914e-16,0,7.762375602712412,
b0116,,3,76,0.15565655936741177,0.15565655936741182,-5.551115123125783e-17,0,35.50390548077038,
b0726,,1,72,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,7.762375602712582,
b2587,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1488,,1,4,0.15565655936741177,0.15565655936741146,3.0531133177191805e-16,0,2.625646845025774e-06,
b3542,,3,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1486,,1,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.630466373721387e-06,
b1485,,1,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.630466373721387e-06,
b3543,,3,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b3541,,3,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1484,,1,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.630466373721387e-06,
b3540,,3,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b3544,,3,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1483,,1,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.630466373721387e-06,
b1487,,1,8,0.15565655936741177,0.1556565593674118,-2.7755575615628914e-17,0,2.630466373721387e-06,
b0092,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329707,
b0381,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296945,
b1325,,1,4,0.15565655936741177,0.15565655936741118,5.828670879282072e-16,0,2.6256468450257696e-06,
b1190,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329682,
b4053,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329696,
b2551,,6,65,0.15565655936741177,0.15565655936741085,9.159339953157541e-16,0,1.3393309110588114,
b0870,,4,8,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,2.6304663737234995e-06,
b2379,,1,7,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,0.024568963821992508,
b2290,,1,7,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,0.024568963821992508,
b2697,,1,4,0.15565655936741177,0.15565655936741113,6.38378239159465e-16,0,2.6256468450257675e-06,
b3460,,5,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b3456,,5,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b3457,,5,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b3455,,5,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b3454,,5,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b4208,,5,59,0.15565655936741177,0.15565655936741177,0.0,0,9.15112510329182e-05,
b0007,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0356,,3,4,0.15565655936741177,0.155656559325993,4.141875731278333e-11,0,2.625646844327119e-06,
b1478,,1,4,0.15565655936741177,0.15565655936741252,-7.494005416219807e-16,0,2.6256468450257916e-06,
b1385,,1,8,0.15565655936741177,0.15565655936741177,0.0,0,2.630466373724147e-06,
b1300,,2,4,0.15565655936741177,0.1556565593674114,3.608224830031759e-16,0,2.625646845025773e-06,
b3588,,2,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b4084,,1,4,0.15565655936741177,0.1556565593674122,-4.440892098500626e-16,0,2.6256468450257865e-06,
b4090,,2,119,0.15565655936741177,0.15565655936741193,-1.6653345369377348e-16,0,306.1422118416005,
b0516,,1,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.625646845025779e-06,
b0512,,1,8,0.15565655936741177,0.15565655936741177,0.0,0,2.6304663737225622e-06,
b0511,,1,4,0.15565655936741177,0.15565655936741193,-1.6653345369377348e-16,0,2.6256468450257815e-06,
b4085,,1,4,0.15565655936741177,0.1556565593674113,4.718447854656915e-16,0,2.6256468450257713e-06,
b4087,,2,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b4086,,2,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b4088,,2,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b0657,,2,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b1677,,2,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b1781,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b3001,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0207,,2,8,0.15565655936741177,0.15565655936741177,0.0,0,2.6304663737222946e-06,
b3012,,2,8,0.15565655936741177,0.15565655936741177,0.0,0,2.6304663737222946e-06,
b3945,,4,4,0.15565655936741177,0.15565655936741166,1.1102230246251565e-16,0,2.6256468450257776e-06,
b3091,,1,4,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,2.6256468450257772e-06,
b3416,,4,4,0.15565655936741177,0.15565655936741177,0.0,0,2.6256468450257785e-06,
b3223,,1,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b3222,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.6256468450257785e-06,
b0774,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296945,
b3833,,2,0,0.15565655936741177,0.15565655936741177,0.0,0,0.0,
b3994,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329701,
b1982,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b0932,,2,4,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,2.625646845025777e-06,
b0237,,3,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b4260,,2,4,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,2.625646845025777e-06,
b2523,,2,4,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,2.625646845025777e-06,
b1640,,1,4,0.15565655936741177,0.15565655936740752,4.246603069191224e-15,0,2.6256468450257078e-06,
b1263,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296957,
b1264,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329689,
b0776,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296974,
b0049,,3,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b4129,,2,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b0121,,2,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b3059,,7,4,0.15565655936741177,0.15565654300773718,1.6359674587240747e-08,0,2.6256465690674397e-06,
b0968,,7,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b0414,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296775,
b0062,,1,0,0.15565655936741177,0.15565655936741177,0.0,0,0.0,
b0153,,5,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
