gene_id,gene_name,n_gpr_rxns,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b1398,paaK,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b0049,apaH,3,0.0796779070803362,0.0796779070803363,-1.6653345369377348e-16,0,0.0,747.6826098158683,ok
b3784,rfe,1,0.0796779070803362,0.0796779070803362,-2.775557561562892e-17,0,0.0,747.6826098158579,ok
b4481,rffT,1,0.0796779070803362,0.0796779070803362,-2.775557561562892e-17,0,0.0,747.6826098158583,ok
b3052,rfaE,2,0.0796779070803362,0.0796779070803404,-4.232725281383409e-15,0,0.0,747.6826098158842,ok
b1896,otsA,1,0.0796779070803362,0.0796779070803367,-5.689893001203927e-16,0,0.0,747.6826098158621,ok
b0841,ybjG,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389077543,677.3684217300006,ok
b1278,pgpB,30,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389076804,677.3684217300004,ok
b3057,bacA,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389077543,677.3684217300006,ok
b3519,treF,1,0.0796779070803362,0.0796779070803368,-5.967448757360216e-16,0,0.0,747.6826098158602,ok
b0910,cmk,3,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389080874,677.3684217300001,ok
b3648,gmk,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907952,677.3684217299995,ok
b1694,ydiF,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b2221,atoD,3,0.0796779070803362,0.0796779070803349,1.27675647831893e-15,0,0.0,747.6826098158531,ok
b2222,atoA,3,0.0796779070803362,0.0796779070803349,1.27675647831893e-15,0,0.0,747.6826098158531,ok
b2039,rfbA,1,0.0796779070803362,0.0796779070803397,-3.552713678800501e-15,0,0.0,747.6826098158798,ok
b3789,rffH,1,0.0796779070803362,0.0796779070803397,-3.552713678800501e-15,0,0.0,747.6826098158798,ok
b2041,rfbB,1,0.0796779070803362,0.0796779070803397,-3.552713678800501e-15,0,0.0,747.6826098158799,ok
b3788,rffG,1,0.0796779070803362,0.0796779070803397,-3.552713678800501e-15,0,0.0,747.6826098158799,ok
b2036,glf,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b2038,rfbC,1,0.0796779070803362,0.0796779070803397,-3.552713678800501e-15,0,0.0,747.6826098158867,ok
b2040,rfbD,1,0.0796779070803362,0.0796779070803397,-3.552713678800501e-15,0,0.0,747.6826098158801,ok
b0512,allB,1,0.0796779070803362,0.0796779070803363,-1.6653345369377348e-16,0,0.0,747.682609815859,ok
b3972,murB,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389082056,677.3684217299999,ok
s0001,,45,0.0796779070803362,0.0,0.0796779070803362,1,26862.292461950525,0.0,infeasible
b3617,kbl,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b0030,rihC,5,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b0200,gmhB,1,0.0796779070803362,0.0796779070803404,-4.232725281383409e-15,0,0.0,747.682609815884,ok
b0222,lpcA,1,0.0796779070803362,0.0796779070803404,-4.232725281383409e-15,0,0.0,747.682609815884,ok
b0038,caiB,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158522,ok
b0036,caiD,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.682609815859,ok
b3844,fre,6,0.0796779070803362,0.0793324793039885,0.0003454277763476,0,0.1395279873736694,747.5019030688431,ok
b2784,relA,2,0.0796779070803362,0.0796779070803361,4.163336342344337e-17,0,0.0,747.6826098158508,ok
b2431,yfeX,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389082375,677.3684217299999,ok
b1019,efeB,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389082375,677.3684217299999,ok
b0475,hemH,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389082375,677.3684217299999,ok
b4040,ubiA,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907841,677.3684217300003,ok
b3974,coaA,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.510963890869,677.3684217299992,ok
b0103,coaE,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389085023,677.3684217299995,ok
b2104,thiM,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b1215,kdsA,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389086666,677.3684217299996,ok
b3198,kdsC,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389086666,677.3684217299996,ok
b1747,astA,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158581,ok
b1744,astE,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158581,ok
b0340,cynS,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b2988,gss,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b2883,guaD,1,0.0796779070803362,0.0796779070803363,-1.6653345369377348e-16,0,0.0,747.6826098158595,ok
b1098,tmk,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389082403,677.3684217299999,ok
b0888,trxB,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0019441647440082,747.702328663431,ok
b2690,yqaB,7,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158574,ok
b0688,pgm,1,0.0796779070803362,0.0796779070803361,4.163336342344337e-17,0,0.0,747.6826098158579,ok
b1317,ycjU,1,0.0796779070803362,0.0796779070803361,4.163336342344337e-17,0,0.0,747.6826098158579,ok
b2168,fruK,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b2687,luxS,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907836,677.3684217300007,ok
b3581,sgbH,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b4196,ulaD,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b3582,sgbU,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158585,ok
b4197,ulaE,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158585,ok
b3575,yiaK,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b0312,betB,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158585,ok
b0403,malZ,5,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b0207,dkgB,2,0.0796779070803362,0.0796779070803363,-1.6653345369377348e-16,0,0.0,747.6826098158584,ok
b3012,dkgA,2,0.0796779070803362,0.0796779070803363,-1.6653345369377348e-16,0,0.0,747.6826098158584,ok
b3962,sthA,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158585,ok
b2764,cysJ,4,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907977,677.3684217300001,ok
b2763,cysI,4,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907977,677.3684217300001,ok
b0937,ssuE,2,0.0796779070803362,0.0796779070803363,-1.52655665885959e-16,0,0.0,747.6826098158695,ok
b2563,acpS,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b3475,acpT,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b2507,guaA,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389085933,677.36842173,ok
b1982,amn,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158595,ok
b3360,pabA,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907819,677.3684217300001,ok
b1812,pabB,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907819,677.3684217300001,ok
b1096,pabC,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907621,677.3684217300001,ok
b4039,ubiC,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907621,677.3684217300001,ok
b2416,ptsI,21,0.0796779070803362,0.0597584303102523,0.0199194767700838,0,1028.7930278120025,772.6361127723928,ok
b1200,dhaK,1,0.0796779070803362,0.0796779070803368,-5.967448757360216e-16,0,427.18372507919713,756.8481523190338,ok
b2415,ptsH,21,0.0796779070803362,0.0597584303102523,0.0199194767700838,0,1028.7930278120025,772.6361127723928,ok
b1199,dhaL,1,0.0796779070803362,0.0796779070803368,-5.967448757360216e-16,0,427.18372507919713,756.8481523190338,ok
b1198,dhaM,1,0.0796779070803362,0.0796779070803368,-5.967448757360216e-16,0,427.18372507919713,756.8481523190338,ok
b0171,pyrH,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908316,677.3684217299999,ok
b4477,dgoA,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b2498,upp,1,0.0796779070803362,0.0796779070803368,-5.967448757360216e-16,0,0.0,747.6826098158626,ok
b2780,pyrG,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389079584,677.3684217299997,ok
b0087,mraY,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389078486,677.36842173,ok
b0090,murG,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389078486,677.36842173,ok
b3946,fsaB,1,0.0796779070803362,0.0796779070803374,-1.2073675392798577e-15,0,427.1837250788603,756.8481523190369,ok
b0825,fsaA,1,0.0796779070803362,0.0796779070803374,-1.2073675392798577e-15,0,427.1837250788603,756.8481523190369,ok
b3619,rfaD,1,0.0796779070803362,0.0796779070803404,-4.232725281383409e-15,0,0.0,747.682609815884,ok
b4267,idnD,2,0.0796779070803362,0.0796779070803368,-5.967448757360216e-16,0,0.0,747.6826098158616,ok
b1033,ghrA,4,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158699,ok
b3957,argE,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908182,677.3684217299992,ok
b1623,add,2,0.0796779070803362,0.0796779070803363,-1.6653345369377348e-16,0,0.0,747.6826098158597,ok
b3665,adeD,1,0.0796779070803362,0.0796779070803363,-1.52655665885959e-16,0,0.0,747.6826098158589,ok
b4177,purA,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908103,677.3684217300001,ok
b0677,nagA,1,0.0796779070803362,0.0796779070803367,-5.551115123125785e-16,0,0.0,747.6826098158563,ok
b0828,iaaA,1,0.0796779070803362,0.0796779070803363,-1.52655665885959e-16,0,0.0,747.6826098158588,ok
b1767,ansA,1,0.0796779070803362,0.0796779070803363,-1.52655665885959e-16,0,0.0,747.6826098158588,ok
b0674,asnB,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389080385,677.3684217300001,ok
b3744,asnA,1,0.0796779070803362,0.0795251650212538,0.0001527420590823,0,0.0012485114563409,747.6870522145064,ok
b4245,pyrB,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.510963890787,677.3684217300004,ok
b4244,pyrI,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.510963890787,677.3684217300004,ok
b0029,ispH,2,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389082403,677.3684217299999,ok
