pi_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,l1_ko_highs
-0.5,b2705,,1,200,0.5183329169391334,0.5183329169393751,-2.4169555246089673e-13,0,2700.363152397299,
-0.5,b2703,,1,200,0.5183329169391334,0.518332916939122,1.1435297153639112e-14,0,2700.363152397372,
-0.5,b2704,,1,200,0.5183329169391334,0.518332916939122,1.1435297153639112e-14,0,2700.363152397372,
-0.5,b2702,,1,200,0.5183329169391334,0.518332916939122,1.1435297153639112e-14,0,2700.363152397372,
-0.5,b2472,,1,477,0.5183329169391334,8.444684276585522e-16,0.5183329169391325,1,5228.005198142434,
-0.5,b3591,,1,200,0.5183329169391334,0.5183329169390897,4.3742787170231174e-14,0,2700.363152397374,
-0.5,b1764,,1,200,0.5183329169391334,0.5183329169392091,-7.57172102794357e-14,0,2700.3631523973468,
-0.5,b2264,,1,200,0.5183329169391334,0.5183329169392091,-7.57172102794357e-14,0,2700.3631523973468,
-0.5,b0586,,1,200,0.5183329169391334,0.5183329169392091,-7.57172102794357e-14,0,2700.3631523973468,
-0.5,b3607,,1,477,0.5183329169391334,-3.8001079244634836e-15,0.5183329169391372,1,5228.005198142452,
-0.5,b2366,,1,200,0.5183329169391334,0.5183329169391521,-1.865174681370264e-14,0,2700.3631523973622,
-0.5,b2797,,1,200,0.5183329169391334,0.5183329169393252,-1.9173551635276453e-13,0,2700.363152397312,
-0.5,b4471,,1,200,0.5183329169391334,0.5183329169393252,-1.9173551635276453e-13,0,2700.363152397312,
-0.5,b1814,,1,200,0.5183329169391334,0.5183329169393252,-1.9173551635276453e-13,0,2700.363152397312,
-0.5,b0893,,2,200,0.5183329169391334,0.5183329169393252,-1.9173551635276453e-13,0,2700.363152397312,
-0.5,b2796,,1,200,0.5183329169391334,0.5183329169393252,-1.9173551635276453e-13,0,2700.363152397312,
-0.5,b3116,,2,202,0.5183329169391334,0.5183329169393252,-1.9173551635276453e-13,0,2700.3121706170864,
-0.5,b3089,,2,204,0.5183329169391334,0.5183329169393252,-1.9173551635276453e-13,0,2700.3631815124622,
