fe_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-0.0025,b0099,3,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171832
-0.0025,b2781,8,161,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,4927.798536801579
-0.0025,b0160,2,161,0.1556565593674116,0.1556565593674117,-2.775557561562892e-17,0,4927.798536801583
-0.0025,b1800,2,445,0.1556565593674116,-5.432351167991787e-17,0.1556565593674117,1,5183.824140171846
-0.0025,b0073,1,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171833
-0.0025,b0523,1,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171833
-0.0025,b1131,2,445,0.1556565593674116,1.2232820368799939e-17,0.1556565593674116,1,5183.824140171832
-0.0025,b2407,5,161,0.1556565593674116,0.1556565593674118,-1.6653345369377348e-16,0,4927.798536801579
-0.0025,b2234,4,152,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4927.779276617894
-0.0025,b2235,4,152,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4927.779276617909
-0.0025,b3781,10,157,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4927.786696416072
-0.0025,b2582,10,157,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4927.786696416073
-0.0025,b2827,1,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171843
-0.0025,b1238,2,157,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,4927.786696416067
-0.0025,b3639,2,445,0.1556565593674116,-9.832555614065136e-15,0.1556565593674215,1,5183.824140171867
-0.0025,b1232,1,157,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4927.786696416067
-0.0025,b1851,1,179,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,5367.257700506605
-0.0025,b1693,1,460,0.1556565593674116,-4.536013225273143e-15,0.1556565593674162,1,5259.387664291895
-0.0025,b4146,1,181,0.1556565593674116,0.1556565593674114,2.220446049250313e-16,0,5347.554550933248
-0.0025,b1109,3,181,0.1556565593674116,0.1556565593674117,-2.775557561562892e-17,0,5347.55455093326
-0.0025,b1004,3,181,0.1556565593674116,0.1556565593674117,-2.775557561562892e-17,0,5347.55455093326
-0.0025,b0046,3,181,0.1556565593674116,0.1556565593674117,-2.775557561562892e-17,0,5347.55455093326
-0.0025,b3713,3,181,0.1556565593674116,0.1556565593674117,-2.775557561562892e-17,0,5347.55455093326
-0.0025,b3236,1,181,0.1556565593674116,0.1556565593674117,-2.775557561562892e-17,0,5347.55455093326
-0.0025,b4122,2,159,0.1556565593674116,0.1556565593674122,-5.828670879282072e-16,0,4601.579478209071
-0.0025,b1611,1,159,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4601.579478209028
-0.0025,b1612,1,159,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4601.579478209028
-0.0025,b1638,2,161,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4601.5822788153855
-0.0025,b0907,3,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237266
-0.0025,b1210,1,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237278
-0.0025,b3429,1,212,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,5405.546127462463
-0.0025,b3417,5,212,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,5405.546127461659
-0.0025,b3428,2,212,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,5405.546127461659
-0.0025,b0428,1,212,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,5405.546127461659
-0.0025,b0120,1,212,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,5405.546127461659
-0.0025,b2937,1,212,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,5405.546127461659
-0.0025,b4117,1,212,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,5405.546127461659
-0.0025,b3172,1,446,0.1556565593674116,-2.7161755839958938e-17,0.1556565593674117,1,4249.25060623726
-0.0025,b3958,1,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237286
-0.0025,b0121,2,212,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,5405.5461274626105
-0.0025,b0154,1,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237276
-0.0025,b0918,1,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237282
-0.0025,b4322,1,212,0.1556565593674116,0.1556565593674117,-2.775557561562892e-17,0,5405.546127462137
-0.0025,b3091,1,212,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,5405.546127461781
-0.0025,b3092,2,212,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,5405.546127461781
-0.0025,b3176,1,446,0.1556565593674116,-5.432351167991789e-17,0.1556565593674117,1,4249.250606237272
-0.0025,b3730,2,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237283
-0.0025,b3189,1,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237292
-0.0025,b3967,1,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237291
-0.0025,b3786,1,212,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,5405.546127462081
-0.0025,b2323,13,446,0.1556565593674116,-5.432351167991789e-17,0.1556565593674117,1,4249.250606237272
-0.0025,b2232,2,212,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,5405.546127462336
-0.0025,b0593,1,212,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,5405.546127461781
-0.0025,b0142,1,446,0.1556565593674116,-8.374240943017742e-12,0.1556565593757859,1,4249.25060623171
-0.0025,b3634,1,446,0.1556565593674116,0.0,0.1556565593674116,1,4249.250606237291
-0.0025,b0394,1,212,0.1556565593674116,0.1556565593674118,-1.1102230246251563e-16,0,5405.546127462188
-0.0025,b0173,1,446,0.1556565593674116,2.167671086563764e-12,0.155656559365244,1,4249.250606238714
