gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b3006,10,14,0.3983895354016732,0.3983895354016979,-2.475797344914099e-14,0,200.18703419504428,pfba
b3005,10,14,0.3983895354016732,0.3983895354016979,-2.475797344914099e-14,0,200.18703419504428,pfba
b1252,10,14,0.3983895354016732,0.3983895354016979,-2.475797344914099e-14,0,200.18703419504428,pfba
b2315,1,414,0.3983895354016732,0.0,0.3983895354016732,1,3875.261432499099,pfba
b0612,1,16,0.3983895354016732,0.3983895354016874,-1.4210854715202004e-14,0,201.50369390008345,pfba
b0040,2,14,0.3983895354016732,0.3983895354016889,-1.5709655798445965e-14,0,200.1870341950444,pfba
b2131,2,14,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.18703419504453,pfba
b2130,2,14,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.18703419504453,pfba
b2128,2,14,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.18703419504453,pfba
b2129,2,14,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.18703419504453,pfba
b3409,1,14,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.18703419504453,pfba
b2167,1,14,0.3983895354016732,0.398389535401684,-1.0769163338864018e-14,0,200.1870341950444,pfba
b2169,1,14,0.3983895354016732,0.398389535401684,-1.0769163338864018e-14,0,200.1870341950444,pfba
b2801,1,18,0.3983895354016732,0.3983895354016815,-8.326672684688674e-15,0,201.55073562791696,pfba
b0584,1,14,0.3983895354016732,0.3983895354016848,-1.1601830607332886e-14,0,200.18703419504465,pfba
b0336,1,18,0.3983895354016732,0.3983895354016872,-1.4044321261508232e-14,0,201.5507356279149,pfba
b0341,1,14,0.3983895354016732,0.398389535401683,-9.825473767932635e-15,0,200.18703419504476,pfba
b3909,2,16,0.3983895354016732,0.3983895354016585,1.4654943925052066e-14,0,200.32198596217745,pfba
b4036,7,12,0.3983895354016732,0.3983895354016816,-8.382183835919932e-15,0,0.1870341950442713,pfba
b4291,1,16,0.3983895354016732,0.3983895354016799,-6.716849298982197e-15,0,201.2342212613196,pfba
b1119,1,6,0.3983895354016876,0.398389535401695,-7.438494264988549e-15,0,0.031198853936071986,pfba
b3829,1,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.4790244071164,pfba
b4019,1,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.479024407127,pfba
b0887,2,6,0.3983895354016876,0.39838953540167205,1.554312234475219e-14,0,0.5943423401306486,pfba
b0886,2,0,0.3983895354016876,0.3983895354016796,7.993605777301127e-15,0,0.0,pfba
b2476,1,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.479024407109,pfba
b3125,1,6,0.3983895354016876,0.3983895354016984,-1.0824674490095276e-14,0,0.0006519912522710709,pfba
b0509,1,0,0.3983895354016876,0.39838953540168626,1.3322676295501878e-15,0,0.0,pfba
b2501,2,0,0.3983895354016876,0.3983895354016879,-3.3306690738754696e-16,0,0.0,pfba
b3941,1,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.479024407151,pfba
b2574,4,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.4790244071464,pfba
b3177,1,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.479024407139,pfba
b0529,2,409,0.3983895354016876,0.38939453835648874,0.00899499704519885,0,5.103063030207748,pfba
b4132,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0750,1,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.479024407158,pfba
b3605,2,10,0.3983895354016876,0.39838953540163746,5.012656956182582e-14,0,0.7754953659322075,pfba
b0306,2,0,0.3983895354016876,0.3983895354016883,-7.216449660063518e-16,0,0.0,pfba
b0307,2,0,0.3983895354016876,0.3983895354016883,-7.216449660063518e-16,0,0.0,pfba
b0308,2,0,0.3983895354016876,0.3983895354016883,-7.216449660063518e-16,0,0.0,pfba
b0904,2,0,0.3983895354016876,0.3983895354016962,-8.604228440844963e-15,0,0.0,pfba
b2492,2,0,0.3983895354016876,0.3983895354016962,-8.604228440844963e-15,0,0.0,pfba
b3631,1,0,0.3983895354016876,0.39838953540168537,2.220446049250313e-15,0,0.0,pfba
b0914,32,414,0.3983895354016876,0.0,0.3983895354016876,1,3824.4790244071337,pfba
b1300,2,8,0.3983895354016876,0.3983895354016808,6.772360450213455e-15,0,0.8071037935333798,pfba
b1967,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0933,5,0,0.3983895354016876,0.39838953540168376,3.83026943495679e-15,0,0.0,pfba
b0936,5,0,0.3983895354016876,0.39838953540168376,3.83026943495679e-15,0,0.0,pfba
b0934,5,0,0.3983895354016876,0.39838953540168376,3.83026943495679e-15,0,0.0,pfba
b2032,1,6,0.3983895354016876,0.39838953540168226,5.329070518200751e-15,0,0.5943423401310395,pfba
b2027,3,8,0.3983895354016876,0.39838953540167654,1.1046719095020308e-14,0,0.02583732267130224,pfba
b2035,3,8,0.3983895354016876,0.39838953540167654,1.1046719095020308e-14,0,0.02583732267130224,pfba
b3622,2,0,0.3983895354016876,0.39838953540165356,3.402833570476105e-14,0,0.0,pfba
b0459,2,6,0.3983895354016876,0.3983895354017021,-1.4488410471358293e-14,0,0.0006519912522235022,pfba
b0585,2,6,0.3983895354016876,0.39838953540168687,7.216449660063518e-16,0,0.59434234013023,pfba
