o2_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
0.0,b4478,1,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
0.0,b1380,1,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
0.0,b0693,1,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
0.0,b2965,1,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
0.0,b0954,13,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
0.0,b1288,26,408,0.13410915918519603,-3.990205077854224e-16,0.13410915918519642,1,365.8030371818856
0.0,b0175,7,408,0.13410915918519603,0.0,0.13410915918519603,1,365.80303718187855
0.0,b3918,7,66,0.13410915918519603,0.13410915918519467,1.3600232051658168e-15,0,0.7846777097675205
0.0,b1912,7,66,0.13410915918519603,0.13410915918519142,4.6074255521944e-15,0,0.7846777097670563
0.0,b2585,7,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371818801
0.0,b1093,14,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371819141
0.0,b1661,4,66,0.13410915918519603,0.1341091591851899,6.13398221105399e-15,0,0.7846777097668725
0.0,b2497,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1006,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1488,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3543,3,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3542,3,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3541,3,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3540,3,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3544,3,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1484,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1485,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1486,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1487,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1483,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0829,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0832,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0830,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0831,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0789,7,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1249,7,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b1677,2,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0657,2,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0418,14,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0508,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0613,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
