pi_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-0.25,b3633,2,456,0.2591731753689938,1.015028619217118e-29,0.2591731753689938,1,7110.502346193694
-0.25,b0174,1,456,0.2591731753689938,0.0,0.2591731753689938,1,7110.502346193686
-0.25,b0524,1,456,0.2591731753689938,0.0,0.2591731753689938,1,7110.50234619367
-0.25,b0182,1,456,0.2591731753689938,0.0,0.2591731753689938,1,7110.502346193669
-0.25,b0915,1,456,0.2591731753689938,0.0,0.2591731753689938,1,7110.502346193658
-0.25,b0099,3,456,0.2591731753689938,-4.202313637690912e-27,0.2591731753689938,1,7110.5023461936735
-0.25,b2781,8,281,0.2591731753689938,0.2591731753690759,-8.210099267103035e-14,0,5848.259632354417
-0.25,b0160,2,281,0.2591731753689938,0.2591731753690725,-7.87148124459236e-14,0,5848.259632354475
-0.25,b1800,2,485,0.2591731753689938,0.0,0.2591731753689938,1,7143.037774365298
-0.25,b0073,1,485,0.2591731753689938,0.0,0.2591731753689938,1,7143.037774365402
-0.25,b0523,1,485,0.2591731753689938,3.631166278763443e-14,0.2591731753689575,1,7143.037774365381
-0.25,b1131,2,485,0.2591731753689938,-1.5620173004998684e-12,0.2591731753705558,1,7143.03777436523
-0.25,b2407,5,281,0.2591731753689938,0.2591731753690415,-4.7684078907650473e-14,0,5874.327703151189
-0.25,b2234,4,273,0.2591731753689938,0.2591731753689937,5.551115123125783e-17,0,5877.431001358699
-0.25,b2235,4,273,0.2591731753689938,0.2591731753691618,-1.6797674362578618e-13,0,5877.431001356825
-0.25,b3781,10,280,0.2591731753689938,0.2591731753691688,-1.749711486809247e-13,0,5679.167092651305
-0.25,b2582,10,280,0.2591731753689938,0.2591731753691921,-1.983413433492843e-13,0,5679.167092651092
-0.25,b2827,1,479,0.2591731753689938,-2.0219815144988976e-16,0.259173175368994,1,7306.801275347688
-0.25,b1238,2,280,0.2591731753689938,0.2591731753690044,-1.0658141036401504e-14,0,5679.16709265293
-0.25,b3639,2,479,0.2591731753689938,8.383135359112429e-13,0.2591731753681555,1,7306.801275350373
-0.25,b1232,1,280,0.2591731753689938,0.2591731753690464,-5.256906021600116e-14,0,5679.167092652509
-0.25,b1851,1,280,0.2591731753689938,0.2591731753691921,-1.983413433492843e-13,0,5679.167092651092
-0.25,b1693,1,476,0.2591731753689938,1.819783363049008e-15,0.259173175368992,1,5063.48124009547
-0.25,b4146,1,295,0.2591731753689938,0.2591731753690096,-1.582067810090848e-14,0,4766.796088979183
-0.25,b1109,3,295,0.2591731753689938,0.2591731753689893,4.496403249731884e-15,0,4766.796088979187
-0.25,b1004,3,295,0.2591731753689938,0.2591731753689893,4.496403249731884e-15,0,4766.796088979187
-0.25,b0046,3,295,0.2591731753689938,0.2591731753689893,4.496403249731884e-15,0,4766.796088979187
-0.25,b3713,3,295,0.2591731753689938,0.2591731753689893,4.496403249731884e-15,0,4766.796088979187
-0.25,b3236,1,295,0.2591731753689938,0.2591731753689893,4.496403249731884e-15,0,4766.796088979187
-0.25,b4122,2,265,0.2591731753689938,0.2591731753689788,1.498801083243961e-14,0,4486.574461934691
-0.25,b1611,1,265,0.2591731753689938,0.2591731753690021,-8.271161533457416e-15,0,4486.574461934734
-0.25,b1612,1,265,0.2591731753689938,0.2591731753690021,-8.271161533457416e-15,0,4486.574461934734
-0.25,b1638,2,267,0.2591731753689938,0.2591731753690021,-8.271161533457416e-15,0,4486.585279418143
-0.25,b0907,3,473,0.2591731753689938,1.9323617290206723e-16,0.2591731753689936,1,4896.252194544573
-0.25,b1210,1,473,0.2591731753689938,0.0,0.2591731753689938,1,4896.252194544623
-0.25,b3429,1,266,0.2591731753689938,0.2591731753689876,6.217248937900877e-15,0,4517.62925345393
-0.25,b3417,5,266,0.2591731753689938,0.2591731753690577,-6.389333506717777e-14,0,4517.629253454038
-0.25,b3428,2,266,0.2591731753689938,0.2591731753690577,-6.389333506717777e-14,0,4517.629253454038
-0.25,b0428,1,266,0.2591731753689938,0.2591731753690577,-6.389333506717777e-14,0,4517.629253454038
-0.25,b0120,1,266,0.2591731753689938,0.2591731753690577,-6.389333506717777e-14,0,4517.629253454038
-0.25,b2937,1,266,0.2591731753689938,0.2591731753690577,-6.389333506717777e-14,0,4517.629253454038
-0.25,b4117,1,266,0.2591731753689938,0.2591731753690577,-6.389333506717777e-14,0,4517.629253454038
-0.25,b3172,1,473,0.2591731753689938,1.9323617290206723e-16,0.2591731753689936,1,4896.252194544704
-0.25,b3958,1,473,0.2591731753689938,0.0,0.2591731753689938,1,4896.252194544653
-0.25,b0121,2,266,0.2591731753689938,0.2591731753690596,-6.583622536027178e-14,0,4517.629253454009
-0.25,b0154,1,473,0.2591731753689938,1.932361729020671e-16,0.2591731753689936,1,4896.25219454474
-0.25,b0918,1,451,0.2591731753689938,5.743205439743555e-17,0.2591731753689937,1,5440.498348904774
-0.25,b4322,1,266,0.2591731753689938,0.2591731753690058,-1.2045919817182948e-14,0,4517.6292534539525
-0.25,b3091,1,266,0.2591731753689938,0.2591731753690441,-5.029310301551959e-14,0,4517.629253454013
-0.25,b3092,2,266,0.2591731753689938,0.2591731753690441,-5.029310301551959e-14,0,4517.629253454013
-0.25,b3176,1,451,0.2591731753689938,-7.601095214712788e-17,0.2591731753689938,1,5440.498348904698
-0.25,b3730,2,451,0.2591731753689938,0.0,0.2591731753689938,1,5440.498348904743
-0.25,b3189,1,451,0.2591731753689938,0.0,0.2591731753689938,1,5440.498348904743
-0.25,b3967,1,451,0.2591731753689938,0.0,0.2591731753689938,1,5440.498348904782
-0.25,b3786,1,266,0.2591731753689938,0.2591731753690416,-4.7795101210113e-14,0,4517.629253453993
-0.25,b2323,13,451,0.2591731753689938,-2.224988982976165e-17,0.2591731753689938,1,5440.498348904698
-0.25,b2232,2,245,0.2591731753689938,0.2591731753689837,1.0103029524088925e-14,0,4521.841337501989
-0.25,b0593,1,245,0.2591731753689938,0.259173175369073,-7.915890165577366e-14,0,4521.841337502088
-0.25,b0142,1,482,0.2591731753689938,-3.365895712657308e-13,0.2591731753693304,1,5172.220333247686
-0.25,b3634,1,482,0.2591731753689938,1.0476329386528544e-12,0.2591731753679462,1,5172.220333241488
-0.25,b0394,1,245,0.2591731753689938,0.2591731753690853,-9.153788838034417e-14,0,4521.841337502122
-0.25,b0173,1,473,0.2591731753689938,2.7188172153936224e-16,0.2591731753689935,1,4910.015036493563
-0.25,b3843,1,473,0.2591731753689938,0.0,0.2591731753689938,1,4910.01503649376
-0.25,b0477,2,245,0.2591731753689938,0.2591731753689814,1.2378986724570495e-14,0,4521.841337502007
-0.25,b1302,3,439,0.2591731753689938,0.0,0.2591731753689938,1,4828.685896990909
-0.25,b2662,3,439,0.2591731753689938,0.0,0.2591731753689938,1,4828.685896990907
-0.25,b1525,2,211,0.2591731753689938,0.2591731753690921,-9.831024883055761e-14,0,2884.568144230894
-0.25,b4139,1,211,0.2591731753689938,0.2591731753689945,-7.2164496600635185e-16,0,2884.5681442311734
-0.25,b3117,2,459,0.2591731753689938,4.117859558894364e-14,0.2591731753689526,1,2996.3853892646457
-0.25,b2797,1,206,0.2591731753689938,0.2591731753690184,-2.4646951146678475e-14,0,2965.66069776978
-0.25,b1814,1,206,0.2591731753689938,0.2591731753689652,2.858824288409778e-14,0,2965.660697769923
-0.25,b4471,1,206,0.2591731753689938,0.2591731753689652,2.858824288409778e-14,0,2965.660697769923
-0.25,b3616,1,253,0.2591731753689938,0.2591731753689719,2.1926904736346842e-14,0,2832.0522513792
-0.25,b3589,1,253,0.2591731753689938,0.2591731753689821,1.1712852909795402e-14,0,2832.052251379246
-0.25,b3774,3,478,0.2591731753689938,-3.977482151601956e-16,0.2591731753689942,1,2562.551818145872
-0.25,b0185,1,462,0.2591731753689938,-1.6718449957625321e-15,0.2591731753689955,1,2995.6323494304734
-0.25,b3256,1,462,0.2591731753689938,0.0,0.2591731753689938,1,2995.6323494304665
-0.25,b3255,1,462,0.2591731753689938,0.0,0.2591731753689938,1,2995.6323494304665
-0.25,b2316,1,462,0.2591731753689938,0.0,0.2591731753689938,1,2995.6323494304665
-0.25,b2615,1,462,0.2591731753689938,-1.066653589071682e-11,0.2591731753796603,1,2995.632349446558
-0.25,b2265,1,215,0.2591731753689938,0.2591731753690132,-1.9373391779708985e-14,0,2588.460035886478
-0.25,b2261,1,215,0.2591731753689938,0.2591731753690619,-6.811218256075335e-14,0,2588.460035887104
-0.25,b0596,1,215,0.2591731753689938,0.2591731753690619,-6.811218256075335e-14,0,2588.460035887104
-0.25,b0595,1,215,0.2591731753689938,0.2591731753690619,-6.811218256075335e-14,0,2588.460035887104
-0.25,b4198,1,215,0.2591731753689938,0.2591731753690619,-6.811218256075335e-14,0,2588.460035887104
-0.25,b0061,1,215,0.2591731753689938,0.2591731753690619,-6.811218256075335e-14,0,2588.460035887104
-0.25,b3583,1,215,0.2591731753689938,0.2591731753690619,-6.811218256075335e-14,0,2588.460035887104
-0.25,b4374,3,215,0.2591731753689938,0.2591731753690619,-6.811218256075335e-14,0,2588.460035887104
-0.25,b0675,7,215,0.2591731753689938,0.2591731753690619,-6.811218256075335e-14,0,2588.460035887104
-0.25,b2291,6,185,0.2591731753689938,0.2591731753690655,-7.172040739078511e-14,0,2378.2525871970697
-0.25,b2361,8,185,0.2591731753689938,0.2591731753689207,7.310818617156657e-14,0,2315.1779227556035
-0.25,b1651,1,185,0.2591731753689938,0.2591731753690169,-2.314815006343452e-14,0,2315.177922755639
-0.25,b0766,2,185,0.2591731753689938,0.2591731753690169,-2.314815006343452e-14,0,2315.177922755639
-0.25,b3826,6,185,0.2591731753689938,0.2591731753690169,-2.314815006343452e-14,0,2315.177922755639
-0.25,b0758,1,185,0.2591731753689938,0.2591731753690169,-2.314815006343452e-14,0,2315.177922755639
-0.25,b0420,1,449,0.2591731753689938,0.0,0.2591731753689938,1,2214.9953428523177
-0.25,b1208,1,449,0.2591731753689938,0.0,0.2591731753689938,1,2214.995342852292
-0.25,b2746,1,449,0.2591731753689938,0.0,0.2591731753689938,1,2214.9953428522704
-0.25,b3526,1,185,0.2591731753689938,0.2591731753689528,4.1022740759899534e-14,0,2315.1779227556167
-0.25,b3565,2,185,0.2591731753689938,0.2591731753690169,-2.314815006343452e-14,0,2315.177922755639
-0.25,b2048,1,185,0.2591731753689938,0.2591731753690169,-2.314815006343452e-14,0,2315.177922755639
-0.25,b4015,1,185,0.2591731753689938,0.2591731753690169,-2.314815006343452e-14,0,2315.177922755639
-0.25,b0116,3,186,0.2591731753689938,0.2591731753690169,-2.314815006343452e-14,0,2264.735409295863
-0.25,b2903,1,186,0.2591731753689938,0.2591731753690135,-1.970645868709653e-14,0,2264.7354092958626
-0.25,b2904,1,186,0.2591731753689938,0.2591731753690135,-1.970645868709653e-14,0,2264.7354092958626
-0.25,b2905,1,186,0.2591731753689938,0.2591731753690135,-1.970645868709653e-14,0,2264.7354092958626
-0.25,b0261,2,186,0.2591731753689938,0.2591731753690135,-1.970645868709653e-14,0,2264.7354092958626
-0.25,b0759,1,186,0.2591731753689938,0.2591731753690135,-1.970645868709653e-14,0,2264.7354092958626
-0.25,b0344,1,186,0.2591731753689938,0.2591731753690135,-1.970645868709653e-14,0,2264.7354092958626
-0.25,b4239,1,186,0.2591731753689938,0.2591731753690135,-1.970645868709653e-14,0,2264.7354092958626
-0.25,b3956,1,231,0.2591731753689938,0.2591731753691656,-1.7180701306074297e-13,0,2583.750736591557
-0.25,b0822,7,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
-0.25,b2540,2,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
-0.25,b2542,2,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
-0.25,b2539,2,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
-0.25,b2538,2,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
-0.25,b2541,2,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
-0.25,b0616,1,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
-0.25,b0617,1,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
-0.25,b0614,1,231,0.2591731753689938,0.2591731753690589,-6.505906924303417e-14,0,2583.750736591155
