fe_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
-0.01,b2587,,1,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b1488,,1,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b3542,,3,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b1486,,1,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b1485,,1,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b3543,,3,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b3541,,3,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b1484,,1,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b3540,,3,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b3544,,3,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b1483,,1,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b1487,,1,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
-0.01,b0092,,1,477,0.6226262374694641,-9.992304127032485e-17,0.6226262374694642,1,7327.111701878551,
-0.01,b0381,,1,477,0.6226262374694641,0.0,0.6226262374694641,1,7327.111701878749,
-0.01,b1325,,1,133,0.6226262374694641,0.6226262374696465,-1.8240964294591322e-13,0,3608.9583335393727,
-0.01,b1190,,1,477,0.6226262374694641,-9.992304127032485e-17,0.6226262374694642,1,7327.111701878645,
-0.01,b4053,,1,477,0.6226262374694641,0.0,0.6226262374694641,1,7327.111701878722,
-0.01,b2551,,6,136,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4105.793608106394,
-0.01,b0870,,4,136,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4105.793608106249,
-0.01,b2379,,1,133,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4105.400546695447,
-0.01,b2290,,1,133,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4105.400546694962,
-0.01,b2697,,1,133,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4105.400546694962,
-0.01,b3460,,5,133,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4105.400546694962,
-0.01,b3456,,5,133,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4105.400546694962,
-0.01,b3457,,5,133,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4105.400546694962,
-0.01,b3455,,5,133,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4105.400546694962,
-0.01,b3454,,5,133,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4105.400546694962,
-0.01,b4208,,5,142,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4103.396693484136,
