o2_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-2.5,b3787,,1,7,0.366799589669811,0.36679958966964854,1.6248113965389166e-13,0,0.044166915795690063
-2.5,b3786,,1,7,0.366799589669811,0.3667995896696452,1.6581180872776713e-13,0,0.04416691579568977
-2.5,b0181,,1,435,0.366799589669811,-5.780443934818111e-16,0.3667995896698116,1,574.8251284633192
-2.5,b3189,,1,453,0.366799589669811,-1.0390583143159003e-13,0.36679958966991494,1,779.2593672128819
-2.5,b0090,,1,453,0.366799589669811,0.0,0.366799589669811,1,779.2593672124857
-2.5,b0088,,1,453,0.366799589669811,0.0,0.366799589669811,1,779.2593672124798
-2.5,b0091,,1,453,0.366799589669811,0.0,0.366799589669811,1,779.2593672124831
-2.5,b3972,,1,453,0.366799589669811,0.0,0.366799589669811,1,779.2593672124847
-2.5,b0841,,2,453,0.366799589669811,0.0,0.366799589669811,1,779.2593672124857
-2.5,b3057,,2,453,0.366799589669811,0.0,0.366799589669811,1,779.2593672124744
-2.5,b0174,,1,453,0.366799589669811,0.0,0.366799589669811,1,779.2593672124744
-2.5,b0759,,1,7,0.366799589669811,0.36679958966964876,1.6225909504896663e-13,0,0.04416691579569006
-2.5,b2036,,1,7,0.366799589669811,0.36679958966964654,1.6447954109821694e-13,0,0.044166915795689876
-2.5,b2028,,1,7,0.366799589669811,0.36679958966964654,1.6447954109821694e-13,0,0.044166915795689876
-2.5,b2255,,2,7,0.366799589669811,0.36679958966964654,1.6447954109821694e-13,0,0.044166915795689876
-2.5,b2253,,1,7,0.366799589669811,0.36679958966964654,1.6447954109821694e-13,0,0.044166915795689876
-2.5,b0758,,1,7,0.366799589669811,0.36679958966964654,1.6447954109821694e-13,0,0.044166915795689876
-2.5,b0505,,1,7,0.366799589669811,0.36679958966964654,1.6447954109821694e-13,0,0.044166915795689876
-2.5,b0086,,1,429,0.366799589669811,0.0,0.366799589669811,1,928.2116261952522
-2.5,b0096,,1,432,0.366799589669811,-1.143946005101826e-13,0.36679958966992543,1,586.5262792940276
-2.5,b2258,,1,7,0.366799589669811,0.36679958966964527,1.6575629757653587e-13,0,0.044166915795689765
-2.5,b4544,,1,7,0.366799589669811,0.36679958966964754,1.634803403760543e-13,0,0.04416691579568996
-2.5,b4233,,2,7,0.366799589669811,0.36679958966964754,1.634803403760543e-13,0,0.04416691579568996
-2.5,b0171,,1,435,0.366799589669811,-9.172091489091723e-16,0.36679958966981197,1,638.5747289616465
-2.5,b2256,,1,14,0.366799589669811,0.366799589669646,1.6503465261052952e-13,0,0.044167342361308246
-2.5,b2254,,1,14,0.366799589669811,0.3667995896696487,1.6231460620019789e-13,0,0.04416734236131064
-2.5,b3803,,1,429,0.366799589669811,-3.2423588791497606e-22,0.366799589669811,1,928.211626195248
-2.5,b3804,,1,429,0.366799589669811,0.0,0.366799589669811,1,928.2116261952519
-2.5,b3997,,1,429,0.366799589669811,0.0,0.366799589669811,1,928.2116261952592
-2.5,b2498,,1,14,0.366799589669811,0.3667995896696474,1.6364687382974807e-13,0,0.04416734236131059
-2.5,b1011,,1,14,0.366799589669811,0.3667995896696479,1.6314727346866675e-13,0,0.04416734236131058
-2.5,b2497,,1,14,0.366799589669811,0.3667995896696479,1.6314727346866675e-13,0,0.04416734236131058
-2.5,b1006,,1,14,0.366799589669811,0.3667995896696479,1.6314727346866675e-13,0,0.04416734236131058
-2.5,b0517,,1,14,0.366799589669811,0.3667995896696479,1.6314727346866675e-13,0,0.04416734236131058
-2.5,b0524,,1,444,0.366799589669811,2.362055208561191e-16,0.3667995896698108,1,540.5434499128476
-2.5,b4258,,1,14,0.366799589669811,0.36679958966964005,1.709743457922741e-13,0,0.0441673423613115
-2.5,b2682,,1,14,0.366799589669811,0.3667995896696472,1.6381340728344185e-13,0,0.04416734236131052
-2.5,b2683,,1,14,0.366799589669811,0.3667995896696472,1.6381340728344185e-13,0,0.04416734236131052
-2.5,b3572,,1,17,0.366799589669811,0.3667995896696472,1.6381340728344185e-13,0,0.1164430344798381
-2.5,b4197,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b2882,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b3565,,2,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b3579,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b3577,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b3578,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b3567,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b3568,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b3566,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b4031,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b1857,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b1859,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
-2.5,b1858,,1,17,0.366799589669811,0.3667995896696475,1.6353585152728556e-13,0,0.11644303447983814
0.0,b1377,,270,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,140.10570000000118
0.0,b2215,,271,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,140.10570000000118
0.0,b0929,,271,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,140.10570000000118
0.0,b0241,,270,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,140.10570000000118
0.0,b4034,,6,48,-9.449629182554199e-32,-4.124417867860637e-30,4.029921576035095e-30,1,141.59407499999992
