atpm_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
40.0,b0350,,1,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b3843,,1,443,0.6947359182109677,1.277062827182845e-16,0.6947359182109676,1,8651.275237437301
40.0,b2311,,1,443,0.6947359182109677,0.0,0.6947359182109677,1,8651.275237437341
40.0,b3835,,1,77,0.6947359182109677,0.6947355338085605,3.844024072385821e-07,0,526.8099036385748
40.0,b2965,,1,38,0.6947359182109677,0.694735918210959,8.659739592076221e-15,0,526.8098496037632
40.0,b0693,,1,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b3642,,1,443,0.6947359182109677,1.038831154852558e-16,0.6947359182109676,1,8651.275237437301
40.0,b2373,,1,38,0.6947359182109677,0.6947359182109679,-2.220446049250313e-16,0,526.8098496037632
40.0,b1387,,1,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b1394,,2,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b1014,,2,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b0386,,1,443,0.6947359182109677,1.038831154852558e-16,0.6947359182109676,1,8651.275237437301
40.0,b1391,,1,38,0.6947359182109677,0.6947359182109688,-1.1102230246251563e-15,0,526.8098496037629
40.0,b1390,,1,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b1392,,1,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b1388,,1,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b1389,,1,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b1398,,1,38,0.6947359182109677,0.6947359182109617,5.9952043329758445e-15,0,526.809849603763
40.0,b0133,,1,443,0.6947359182109677,1.748868829535638e-16,0.6947359182109675,1,8651.275237437296
40.0,b1278,,30,443,0.6947359182109677,0.0,0.6947359182109677,1,8651.2752374373
40.0,b0087,,1,443,0.6947359182109677,0.0,0.6947359182109677,1,8651.275237437352
40.0,b2762,,2,443,0.6947359182109677,0.0,0.6947359182109677,1,8651.275237437285
40.0,b1489,,2,38,0.6947359182109677,0.6947359182109571,1.0547118733938987e-14,0,526.8098496037632
40.0,b0114,,1,438,0.6947359182109677,0.6467928285478997,0.047943089663068,0,2119.392409116142
40.0,b0115,,1,438,0.6947359182109677,0.6467928285478899,0.0479430896630778,0,2119.392409116141
40.0,b1638,,2,89,0.6947359182109677,0.6947359182109639,3.774758283725532e-15,0,526.8100598984175
40.0,b2564,,1,443,0.6947359182109677,2.4732985930687357e-16,0.6947359182109675,1,8651.275237436188
40.0,b0052,,1,443,0.6947359182109677,0.0,0.6947359182109677,1,8651.275237437361
40.0,b0766,,2,38,0.6947359182109677,0.6947359182109517,1.5987211554602254e-14,0,526.8098496037634
40.0,b2320,,1,443,0.6947359182109677,-1.155928277670497e-15,0.6947359182109688,1,8651.275237436681
40.0,b3546,,2,38,0.6947359182109677,0.6947359182109628,4.884981308350689e-15,0,526.8098496037633
40.0,b1723,,1,38,0.6947359182109677,0.6947359182109388,2.886579864025407e-14,0,526.8098496037636
40.0,b3916,,3,431,0.6947359182109677,0.6828039170690048,0.0119320011419629,0,395.0884425236568
40.0,b3952,,1,35,0.6947359182109677,0.6947359182109443,2.3425705819590803e-14,0,217.6501178976032
40.0,b3951,,1,35,0.6947359182109677,0.6947359182109466,2.109423746787797e-14,0,217.65011789760285
40.0,b3176,,1,440,0.6947359182109677,-1.1829124686371938e-15,0.6947359182109689,1,8289.7490743236
40.0,b2913,,1,433,0.6947359182109677,0.6591010706693156,0.0356348475416521,0,260.71444648459635
40.0,b4025,,1,434,0.6947359182109677,0.6756502978717488,0.0190856203392189,0,613.7289106025682
40.0,b2926,,1,453,0.6947359182109677,0.3829484862806527,0.3117874319303149,0,3806.544884965913
40.0,b0767,,1,433,0.6947359182109677,0.6850600806003471,0.0096758376106206,0,650.2606694501454
40.0,b3385,,1,89,0.6947359182109677,0.6947359182109556,1.2101430968414206e-14,0,526.8100598984178
40.0,b3612,,1,443,0.6947359182109677,0.4925915332813375,0.2021443849296301,0,2311.810314627477
40.0,b0755,,1,443,0.6947359182109677,0.4925915332813471,0.2021443849296206,0,2311.810314627496
40.0,b4395,,1,443,0.6947359182109677,0.4925915332813471,0.2021443849296206,0,2311.810314627496
40.0,b0688,,1,89,0.6947359182109677,0.6947359182109619,5.773159728050814e-15,0,276.80343713828785
40.0,b2690,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b0418,,14,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b1912,,7,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b2199,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b2200,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b2197,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b2198,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b2201,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b1713,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b1714,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b1473,,3,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b0576,,2,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b3493,,1,426,0.6947359182109677,0.6897830507159255,0.0049528674950422,0,278.1603422524606
40.0,b2987,,1,426,0.6947359182109677,0.689783050715932,0.0049528674950356,0,278.16034225246
40.0,b3725,,1,89,0.6947359182109677,0.6947359182109785,-1.0769163338864018e-14,0,276.8034371382865
40.0,b3726,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b3727,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b3728,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b3821,,42,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b2048,,1,89,0.6947359182109677,0.6947359182109746,-6.8833827526759706e-15,0,276.8034371382868
40.0,b3412,,1,441,0.6947359182109677,0.0,0.6947359182109677,1,8342.476545087638
40.0,b3974,,1,441,0.6947359182109677,0.0,0.6947359182109677,1,8342.476545086982
40.0,b3258,,1,38,0.6947359182109677,0.694735918210955,1.2656542480726783e-14,0,276.8072309044943
40.0,b1010,,1,38,0.6947359182109677,0.6947359182109712,-3.552713678800501e-15,0,276.8072309044933
40.0,b1378,,1,316,0.6947359182109677,0.6945484992476406,0.000187418963327,0,276.15876962137645
40.0,b0871,,1,38,0.6947359182109677,0.6947359182109639,3.774758283725532e-15,0,276.80723090449385
40.0,b4226,,1,38,0.6947359182109677,0.6947359182109604,7.327471962526033e-15,0,276.80723090449425
40.0,b2502,,2,38,0.6947359182109677,0.6947359182109604,7.327471962526033e-15,0,276.80723090449425
40.0,b1015,,2,38,0.6947359182109677,0.6947359182109604,7.327471962526033e-15,0,276.80723090449425
40.0,b0369,,1,441,0.6947359182109677,3.681546850690881e-16,0.6947359182109674,1,8342.476545087075
40.0,b3956,,1,423,0.6947359182109677,0.6896718247608391,0.0050640934501285,0,330.25298900904363
40.0,b3639,,2,441,0.6947359182109677,-2.932119945719311e-15,0.6947359182109706,1,8342.476545087633
40.0,b3403,,1,38,0.6947359182109677,0.694735918210962,5.6621374255882976e-15,0,276.807230904494
40.0,b2920,,1,38,0.6947359182109677,0.6947359182109604,7.327471962526033e-15,0,276.80723090449425
40.0,b2501,,2,430,0.6947359182109677,0.671390070051182,0.0233458481597856,0,293.0444916131496
40.0,b4383,,2,36,0.6947359182109677,0.6947359182109664,1.3322676295501878e-15,0,265.0207823493362
40.0,b3380,,1,36,0.6947359182109677,0.6947359182109495,1.8207657603852567e-14,0,265.0207823493346
40.0,b3850,,2,441,0.6947359182109677,8.950663301426119e-16,0.6947359182109668,1,8342.476545086816
40.0,b2536,,1,36,0.6947359182109677,0.694735918210958,9.658940314238862e-15,0,265.0207823493351
40.0,b1702,,1,36,0.6947359182109677,0.6947359182109641,3.552713678800501e-15,0,265.0207823493354
40.0,b0383,,1,36,0.6947359182109677,0.6947359182109641,3.552713678800501e-15,0,265.0207823493354
40.0,b4005,,1,441,0.6947359182109677,1.7910424621293018e-14,0.6947359182109498,1,8342.476545086829
40.0,b2499,,1,441,0.6947359182109677,-6.895175509751971e-13,0.6947359182116573,1,8342.476545101366
40.0,b2026,,2,441,0.6947359182109677,2.2889434137853185e-15,0.6947359182109654,1,8342.47654508717
40.0,b2476,,1,441,0.6947359182109677,-1.4341714129143194e-14,0.694735918210982,1,8342.476545087442
40.0,b2557,,1,441,0.6947359182109677,-2.8320915345705243e-14,0.694735918210996,1,8342.47654508774
40.0,b2024,,1,441,0.6947359182109677,2.364355757047077e-15,0.6947359182109654,1,8342.476545087171
40.0,b0194,,1,36,0.6947359182109677,0.6947359182109709,-3.219646771412954e-15,0,265.0207823493358
40.0,b1207,,1,27,0.6947359182109677,0.6947359182109641,3.552713678800501e-15,0,262.91870657348414
40.0,b0908,,1,441,0.6947359182109677,8.669095844259067e-15,0.694735918210959,1,8342.476545086103
40.0,b4160,,7,441,0.6947359182109677,0.0,0.6947359182109677,1,8342.47654508707
40.0,b4388,,1,431,0.6947359182109677,0.6591010706693208,0.0356348475416469,0,295.9166952565471
40.0,b2585,,7,441,0.6947359182109677,-3.598785206522343e-16,0.694735918210968,1,8342.476545087273
40.0,b2297,,2,438,0.6947359182109677,0.6510125079087418,0.0437234103022259,0,434.1018861902751
40.0,b2458,,1,438,0.6947359182109677,0.6510125079087479,0.0437234103022198,0,434.10188619027616
40.0,b3634,,1,454,0.6947359182109677,1.874823276766348e-12,0.6947359182090929,1,2414.722410393371
40.0,b0692,,2,24,0.6947359182109677,0.6947359182109603,7.438494264988549e-15,0,270.4880327103943
40.0,b3073,,1,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b0854,,1,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b1123,,2,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b0856,,1,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b1442,,2,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b0857,,1,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b0855,,1,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b1124,,2,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b1443,,2,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b1440,,2,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b1126,,2,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
40.0,b1125,,2,24,0.6947359182109677,0.6947359182109587,8.992806499463768e-15,0,270.488032710394
