gene_id,gene_name,stratum,glpk_status,highs_status,b_lex_glpk,b_lex_highs,b_deposited,kV_deposited,kV_lex_glpk_vs_wt,kV_lex_highs_vs_wt,kV_lex_cross_engine,t_glpk_s,t_highs_s
b1326,mpaA,floor_sample,ok,ok,0.07967790708032664,0.07967790708033626,0.0796779070803266,200.0135992078733,3.452851617109957e-12,0.0,4.5478547232954206e-11,1.43485689163208,0.7961075305938721
b4071,nrfB,floor_sample,ok,ok,0.07967790708033894,0.07967790708033622,0.0796779070803381,200.0135992078732,3.4528887329655004e-12,0.0,4.547746353524492e-11,1.326432704925537,0.809004545211792
b1192,ldcA,floor_sample,ok,ok,0.07967797088350435,0.07967790708033637,0.0796779708835043,200.0120471729159,0.0,0.0,5.858083960880938e-11,1.427391767501831,0.7912135124206543
b1245,oppC,floor_sample,ok,ok,0.07967797088350219,0.07967790708033679,0.079677970883502,200.01359898780785,0.0,0.0,5.858414875199643e-11,1.426220417022705,0.8020119667053223
b4367,fhuF,floor_sample,ok,ok,0.07967797088350664,0.07967790708033623,0.0796779708835081,200.0135989878078,0.0,0.0,5.858091568421672e-11,1.4393062591552734,0.8318729400634766
b4242,mgtA,floor_sample,ok,ok,0.07967790708034189,0.07967790708033681,0.0796779070803417,200.01359920787328,3.4528079763150202e-12,0.0,4.54802819315019e-11,1.464423418045044,0.8094863891601562
b3599,mtlA,floor_sample,ok,ok,0.07967790708034622,0.07967790708033622,0.0796779070803461,200.01359920787328,3.452894991378541e-12,0.0,4.547752539535181e-11,1.4151225090026855,0.7659754753112793
b2303,folX,floor_sample,ok,ok,0.07967790708034207,0.07967790708033622,0.0796779070803425,200.0135992078733,3.4528759036176423e-12,0.0,4.5478251031497415e-11,1.438951015472412,0.8153083324432373
b2034,wbbI,floor_sample,ok,ok,0.07967797088350186,0.07967790708033622,0.0796779708835017,200.0135989878077,0.0,0.0,5.858465563076665e-11,1.466139316558838,0.8230795860290527
b2484,hyfD,floor_sample,ok,ok,0.07967790708034189,0.07967790708033622,0.0796779070803417,200.01359920787328,3.4528079763150202e-12,0.0,4.548033842475137e-11,1.452568769454956,0.8190963268280029
b2150,mglB,floor_sample,ok,ok,0.07967790708034189,0.07967790708033647,0.0796779070803417,200.01359920787328,3.4528079763150202e-12,0.0,4.548007991106563e-11,1.4494714736938477,0.8073379993438721
b2919,scpB,control,ok,ok,0.07967797088350441,0.07967790708033622,0.0796779708835045,2.444435109038892e-12,0.0,0.0,5.85828671327564e-11,1.4357469081878662,0.8162837028503418
b1661,cfa,control,ok,ok,0.0796779708835039,0.07967790708033622,0.0796779070803347,0.0227498974018863,0.0,0.0,5.858320607034006e-11,1.327240228652954,0.8238067626953125
b1249,clsA,control,ok,ok,0.07967790708034322,0.0796779070803349,0.0796779070803435,0.0010334929068309,3.4528820552984e-12,0.0,4.547796883345128e-11,1.4127137660980225,0.8012480735778809
b0632,dacA,control,ok,ok,0.07967790708034622,0.07967790708033672,0.0796779070803462,0.0,3.4528572504134537e-12,0.0,4.547858732883658e-11,1.4469780921936035,0.8026208877563477
b4474,frlC,control,ok,ok,0.07967790708034765,0.07967790708033622,0.0796779070803484,0.0,3.452782554249809e-12,0.0,4.5480900692303046e-11,1.4360837936401367,0.7968893051147461
b4358,lgoD,control,ok,ok,0.07967790708033655,0.07967790708033622,0.0796779070803364,0.0,3.4528826803765537e-12,0.0,4.5477641301501416e-11,1.440812110900879,0.8135383129119873
b1285,gmr,control,ok,ok,0.07967790708033924,0.07967790708033622,0.079677907080339,0.0237736936049588,3.4528713298808535e-12,0.0,4.5478210219684516e-11,1.4279017448425293,0.7967960834503174
b1387,paaZ,control,ok,ok,0.07967790708034451,0.07967790708033622,0.0796779070803453,0.0,3.452905297571695e-12,0.0,4.547717499903468e-11,1.4416637420654297,0.7801263332366943
b1616,uidB,control,ok,ok,0.07967790708034438,0.07967790708033622,0.0796779070803431,0.0,3.452879013760389e-12,0.0,4.5478040584827873e-11,1.43467378616333,0.7708747386932373
b2796,sdaC,control,ok,ok,0.07967797088351389,0.07967790708033622,0.0796779708835142,2.4444762004454605e-12,0.0,0.0,5.858020888059757e-11,1.443699598312378,0.8039143085479736
