gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b1107,,3,0,0.0992479883158715,0.0992479883158689,2.6229018956769323e-15,0,0.0,
b0433,,3,0,0.0992479883158715,0.0992479883158323,3.924638392049928e-14,0,0.0,
b3619,,1,0,0.0992479883158715,0.099247988315852,1.952604744559494e-14,0,0.0,
b2937,,1,0,0.0992479883158715,0.0992479883158623,9.18709552877317e-15,0,0.0,
b3018,,7,421,0.0992479883158715,0.0,0.0992479883158715,1,285.321563884865,
b3958,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488414,
b0575,,2,4,0.0992479883158715,0.0992479883158455,2.6048607715267732e-14,0,1.959355053224538e-09,
b0572,,2,4,0.0992479883158715,0.0992479883158471,2.4438784329561255e-14,0,1.9593550450269635e-09,
b0573,,2,4,0.0992479883158715,0.0992479883158471,2.4438784329561255e-14,0,1.9593550450269635e-09,
b0574,,2,4,0.0992479883158715,0.0992479883158471,2.4438784329561255e-14,0,1.9593550450269635e-09,
b4006,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.321563884892,
b0522,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848913,
b0523,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848829,
b0727,,1,369,0.0992479883158715,0.0969164938674332,0.0023314944484383,0,1.6247823263202712,
b0116,,3,420,0.0992479883158715,0.0,0.0992479883158715,1,2489.3450322332733,
b0726,,1,367,0.0992479883158715,0.0969164938674346,0.0023314944484369,0,1.624793474242523,
b2587,,1,0,0.0992479883158715,0.0992479883158082,6.333822355486518e-14,0,0.0,
b1488,,1,0,0.0992479883158715,0.0992479883158557,1.5779044737485034e-14,0,0.0,
b3542,,3,0,0.0992479883158715,0.0992479883158564,1.5140666498325572e-14,0,0.0,
b1486,,1,0,0.0992479883158715,0.0992479883158119,5.957734305894746e-14,0,0.0,
b1485,,1,0,0.0992479883158715,0.0992479883158119,5.957734305894746e-14,0,0.0,
b3543,,3,0,0.0992479883158715,0.0992479883158564,1.5140666498325572e-14,0,0.0,
b3541,,3,0,0.0992479883158715,0.0992479883158564,1.5140666498325572e-14,0,0.0,
b1484,,1,0,0.0992479883158715,0.0992479883158119,5.957734305894746e-14,0,0.0,
b3540,,3,0,0.0992479883158715,0.0992479883158564,1.5140666498325572e-14,0,0.0,
b3544,,3,0,0.0992479883158715,0.0992479883158564,1.5140666498325572e-14,0,0.0,
b1483,,1,0,0.0992479883158715,0.0992479883158119,5.957734305894746e-14,0,0.0,
b1487,,1,0,0.0992479883158715,0.0992479883158119,5.957734305894746e-14,0,0.0,
b0092,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.321563884873,
b0381,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488715,
b1325,,1,4,0.0992479883158715,0.0992479883158625,9.048317650695026e-15,0,1.9593550553742555e-09,
b1190,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489693,
b4053,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638849145,
b2551,,6,373,0.0992479883158715,0.0959264726273349,0.0033215156885365,0,0.3689243773510792,
b0870,,4,0,0.0992479883158715,0.0992479883158488,2.2731816429200083e-14,0,0.0,
b2379,,1,3,0.0992479883158715,0.0992479883158715,0.0,0,0.0099873207596452,
b2290,,1,3,0.0992479883158715,0.0992479883158715,0.0,0,0.0099873207596452,
b2697,,1,0,0.0992479883158715,0.0992479883156883,1.8321455463876648e-13,0,0.0,
b3460,,5,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3456,,5,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3457,,5,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3455,,5,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3454,,5,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b4208,,5,241,0.0992479883158715,0.0992274638360977,2.0524479773756377e-05,0,3.465044451874755e-05,
b0007,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0356,,3,0,0.0992479883158715,0.0992479883158587,1.27675647831893e-14,0,0.0,
b1478,,1,0,0.0992479883158715,0.0992479883158555,1.5959455978986622e-14,0,0.0,
b1385,,1,0,0.0992479883158715,0.09924798831585,2.1496693314304597e-14,0,0.0,
b1300,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3588,,2,0,0.0992479883158715,0.0992479883158209,5.055678098386807e-14,0,0.0,
b4084,,1,0,0.0992479883158715,0.0992479883158519,1.9567680809018384e-14,0,0.0,
b4090,,2,421,0.0992479883158715,0.0528029768195674,0.046445011496304,0,45.57186540210108,
