gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str,bnum,keio_call,gene_name_keio,COG_id,PEC,MG_Tn5,Score
b2579,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b2579,b2579,N,yfiD,COG3445,,,
b4154,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b4154,b4154,N,frdA,COG1053,,,
b4151,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b4151,b4151,N,frdD,COG3080,,,
b4153,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b4153,b4153,N,frdB,COG0479,,,
b4152,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b4152,b4152,N,frdC,COG3029,,,
b0871,1,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b0871,b0871,N,poxB,COG0028,,,
b2458,1,413,0.8217979336265955,0.8095508390544544,0.012247094572141126,0,54.32113598103784,b2458,b2458,N,eutI,COG0280,,,
b2297,2,413,0.8217979336265955,0.8095508390544667,0.012247094572128803,0,54.32113598104294,b2297,b2297,N,pta,COG0280,,,
b3115,2,413,0.8217979336265955,0.8095508390544667,0.012247094572128803,0,54.32113598104294,b3115,b3115,N,tdcD,COG0282,,,
b2296,1,413,0.8217979336265955,0.8095508390544667,0.012247094572128803,0,54.32113598104294,b2296,b2296,N,ackA,COG0282,,,
b1849,2,413,0.8217979336265955,0.8095508390544667,0.012247094572128803,0,54.32113598104294,b1849,b1849,N,purT,COG0027,,,
b3633,2,442,0.8217979336265955,2.4367434626549745e-16,0.8217979336265953,1,5146.85100407056,b3633,b3633,E,kdtA,COG1519,E,u,3
b0174,1,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.851004070694,b0174,b0174,E,ispU,COG0020,E,u,3
b0524,1,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.8510040706915,b0524,b0524,E,lpxH,COG2908,E,u,3
b0182,1,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.8510040706005,b0182,b0182,E,lpxB,COG0763,E,u,3
b0915,1,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.85100407077,b0915,b0915,E,lpxK,COG1663,u,u,2
b0099,3,442,0.8217979336265955,0.0,0.8217979336265955,1,5146.851004070638,b0099,b0099,N,mutT,COG0494,,,
b2781,8,73,0.8217979336265955,0.8217979336265905,4.9960036108132044e-15,0,21.538367669258612,b2781,b2781,N,mazG,COG1694,,,
b0160,2,73,0.8217979336265955,0.8217979336266031,-7.66053886991358e-15,0,21.538367669258943,b0160,b0160,N,dgt,COG0232,,,
b1800,2,429,0.8217979336265955,-2.9636265413300766e-16,0.8217979336265958,1,15051.47742381962,b1800,b1800,N,yeaU,COG0473,,,
b0523,1,429,0.8217979336265955,4.222544787022274e-14,0.8217979336265533,1,15051.477423818093,b0523,b0523,N,purE,COG0041,,,
b1131,2,429,0.8217979336265955,3.1018124036680524e-14,0.8217979336265645,1,15051.477423818153,b1131,b1131,E,purB,COG0015,N,u,0
b2407,5,73,0.8217979336265955,0.8217979336265827,1.27675647831893e-14,0,21.538367669258243,b2407,b2407,N,xapA,COG0005,,,
b2234,4,73,0.8217979336265955,0.8217979336266031,-7.66053886991358e-15,0,21.538367669258943,b2234,b2234,E,nrdA,COG0209,E,u,3
b2235,4,73,0.8217979336265955,0.8217979336266031,-7.66053886991358e-15,0,21.538367669258943,b2235,b2235,E,nrdB,COG0208,E,u,3
b3781,10,78,0.8217979336265955,0.8217979336266031,-7.66053886991358e-15,0,21.745185190310583,b3781,b3781,N,trxA,COG0526,,,
b2582,10,78,0.8217979336265955,0.8217979336265803,1.5210055437364645e-14,0,21.74518519030985,b2582,b2582,N,trxC,COG0526,,,
