gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b0523,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847939,677.3684210526312,highs_pfba
b0727,,1,367,0.0992479883158474,0.0969164938674314,0.002331494448416,0,1.6247934742246295,749.6190091601516,highs_pfba
b0116,,3,420,0.0992479883158474,-0.0,0.0992479883158474,1,2489.345032233249,730.0,highs_pfba
b0726,,1,367,0.0992479883158474,0.0969164938674314,0.002331494448416,0,1.6247934742246295,749.6190091601516,highs_pfba
b2587,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199094,highs_pfba
b1488,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199074,highs_pfba
b3542,,3,8,0.0992479883158474,0.0992479883158496,-2.220446049250313e-15,0,1.0694028240840928e-06,749.5838314199066,highs_pfba
b1486,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b1485,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b3543,,3,8,0.0992479883158474,0.0992479883158496,-2.220446049250313e-15,0,1.0694028240840928e-06,749.5838314199066,highs_pfba
b3541,,3,8,0.0992479883158474,0.0992479883158496,-2.220446049250313e-15,0,1.0694028240840928e-06,749.5838314199066,highs_pfba
b1484,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b3540,,3,8,0.0992479883158474,0.0992479883158496,-2.220446049250313e-15,0,1.0694028240840928e-06,749.5838314199066,highs_pfba
b3544,,3,8,0.0992479883158474,0.0992479883158496,-2.220446049250313e-15,0,1.0694028240840928e-06,749.5838314199066,highs_pfba
b1483,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b1487,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b0092,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479393,677.3684210526313,highs_pfba
b0381,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479393,677.3684210526313,highs_pfba
b1325,,1,0,0.0992479883158474,0.0992479883158519,-4.427014310692812e-15,0,0.0,749.5838314199073,highs_pfba
b1190,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479075,677.3684210526317,highs_pfba
b4053,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479075,677.3684210526317,highs_pfba
b2551,,6,373,0.0992479883158474,0.0959264726273252,0.0033215156885221,0,0.3689243773509587,750.4770873618727,highs_pfba
b0870,,4,4,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,1.9593550654793383e-09,749.5838314199082,highs_pfba
b2379,,1,3,0.0992479883158474,0.0992479883158541,-6.689093723366568e-15,0,0.0099873207596416,749.641529833406,highs_pfba
b2290,,1,3,0.0992479883158474,0.0992479883158541,-6.689093723366568e-15,0,0.0099873207596416,749.641529833406,highs_pfba
b2697,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b3460,,5,8,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0694028240859035e-06,749.5838314199079,highs_pfba
b3456,,5,8,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0694028240859035e-06,749.5838314199079,highs_pfba
b3457,,5,8,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0694028240859035e-06,749.5838314199079,highs_pfba
b3455,,5,8,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0694028240859035e-06,749.5838314199079,highs_pfba
b3454,,5,8,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0694028240859035e-06,749.5838314199079,highs_pfba
b4208,,5,241,0.0992479883158474,0.099227463836098,2.052447974938698e-05,0,3.4650444489373736e-05,749.5869505495937,highs_pfba
b0007,,2,8,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.069402824084484e-06,749.5838314199067,highs_pfba
b0356,,3,8,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.0694028243233652e-06,749.5838314199068,highs_pfba
b1478,,1,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0674434690205522e-06,749.5838314199079,highs_pfba
b1385,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199052,highs_pfba
b1300,,2,4,0.0992479883158474,0.0992479883158474,0.0,0,1.959355062662594e-09,749.5838314199067,highs_pfba
b3588,,2,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0674434690205522e-06,749.5838314199082,highs_pfba
b4084,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b4090,,2,424,0.0992479883158474,0.0528028596825132,0.0464451286333342,0,45.57199442058232,748.7334550572377,highs_pfba
b0516,,1,4,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.0674434690205308e-06,749.5838314199059,highs_pfba
b0512,,1,4,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.0674434690205308e-06,749.5838314199075,highs_pfba
b0511,,1,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0674434690205522e-06,749.5838314199079,highs_pfba
b4085,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b4087,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
